Verbatim;Categorie;Libelle;Compar
 Avant beaucoup de rumeurs, de méfiance, on soufre du passé;Collectif;Ce qui me met en difficulté;1
 William prend un peu tout en charge. Il met du temps. Ca nous retarde dans nos tâches.  ;Organisation;Ce qui me met en difficulté;1
"""Peur"" de ne pas faire assez bien";Autres;Ce qui me met en difficulté;1
"(Dans une moindre mesure pour les deux réponses suivantes) ; Manque d'alignement ; Manque d'intérêt sur certaines suggestions";Priorités;Ce qui me met en difficulté;1
/;Autres;Ce qui me met en difficulté;1
//;Autres;Ce qui me met en difficulté;1
?;Autres;Ce qui me met en difficulté;1
1 : discuter avec les sourd et muet 2 : la place dans l'entrepôt3 :;Environnement;Ce qui me met en difficulté;1
1 : écologie2 : l'humain   3 : langue des signes;Vision;Ce que j'apprécie;1
1- l'organisation2- manque de communication3-?;Organisation;Ce qui me met en difficulté;1
1- pas des pressions2- ?3-?;Organisation;Ce que j'apprécie;1
"1) J'ai souvent du mal à identifier ma charge de travail car de nouvelles missions me sont confiées au dernier moment : il n'y a pas une semaine où je n'ai pas de nouvelles demandes qui me ""tombent"" dessus. Et lorsque je suis informée en amont, là encore,";Organisation;Ce qui me met en difficulté;1
"1) La diversité des missions qui me sont confiées ; 2) le dynamisme et les valeurs de la société : je me sens bien chez Cèdre, à ma place, belle confiance commune ; 3) le fait que je depende directement de la direction.";Travail;Ce que j'apprécie;1
A lot of different projects;Travail;Ce que j'apprécie;1
a lot of micro management from my manager but lack of experience in bigger objectives;Accompagnement;Ce qui me met en difficulté;1
A Lyon : on est une petite famille, Une super équipe;Collectif;Ce que j'apprécie;1
A Noisy on avait le plaisir de venir travailler. Une attitude très familiale. Tout le monde se connaît. Solidarité. Pas de soucis de communication ou de se voir;Collectif;Ce que j'apprécie;1
Absence de femme. ;Environnement;Ce qui me met en difficulté;1
absence de périmètre clair;Organisation;Ce qui me met en difficulté;1
absence de process de décision (tout le monde décide de tout);Organisation;Ce qui me met en difficulté;1
Absence de volonté commune pour la boîte;Vision;Ce qui me met en difficulté;1
Absenteisme;Collectif;Ce qui me met en difficulté;1
accès;Environnement;Ce qui me met en difficulté;1
Access to data;Communication;Ce qui me met en difficulté;1
Accompagnement de terrain des délégués est compliqué ;Travail;Ce qui me met en difficulté;1
Accompagnement trop faible sur la définition, planification et execution de projets qui incluraient mon travail par le reste des équipes de l'entreprise.;Collectif;Ce qui me met en difficulté;1
accompagner les gens, voir les gens évoluer et que les gens se sentent importants ;Accompagnement;Ce que j'apprécie;1
accomplire mes missions;Travail;Ce que j'apprécie;1
Accueil et relations humaines. Savoir vivre. On se comprend. On oublie le vouvoiement. Tout le monde se tutoie.  ;Collectif;Ce que j'apprécie;1
Activité en dents de scie;Dynamique;Ce qui me met en difficulté;1
Activité variée tout le temps. Plusieurs projets en parallèle. Peu de routine. ;Travail;Ce que j'apprécie;1
Adaptation à une nouvelle entreprise;Travail;Ce qui me met en difficulté;1
AIDE CONCRETE APPORTEE AUX SALARIEES EN INSERTION;Vision;Ce que j'apprécie;1
"Aide-collecteurs;Triage papiers confidentiels;Triage cartons";Travail;Ce que j'apprécie;1
aidée, formé et informée les gens;Travail;Ce que j'apprécie;1
Aligner mes envies d'évolution avec les missions que l'on me donne;Organisation;Ce qui me met en difficulté;1
Always something on-going (jalons, évènements);Dynamique;Ce que j'apprécie;1
Ambiance;Collectif;Ce que j'apprécie;1
Ambiance avec collègues;Collectif;Ce que j'apprécie;1
Ambiance chaleureuse et détendue;Collectif;Ce que j'apprécie;1
Ambiance de travail;Collectif;Ce que j'apprécie;1
Ambiance d'équipe;Collectif;Ce que j'apprécie;1
Ambiance en général : à Paris, les gens sont accueillants, avenants;Collectif;Ce que j'apprécie;1
ambiance entre collaborateurs;Collectif;Ce que j'apprécie;1
ambiance entre collègues;Collectif;Ce que j'apprécie;1
Ambiance, je me suis senti bien accueilli, bienveillance;Collectif;Ce que j'apprécie;1
Ambiance, proximité avec les personnes, y compris avec les gens qui travaillent dans d'autres pôles. On n'a pas les cloisons qu'on trouve dans un grand groupe. Y compris équipes dirigeantes;Collectif;Ce que j'apprécie;1
"Ambiance; Challenge; Communication";Collectif;Ce que j'apprécie;1
Aménagement d'horaires et jours de TT;Environnement;Ce que j'apprécie;1
Aménagement du poste/lieu de travail: fauteuils de mauvaises qualité, idem pour les micro-casques et souris, fréquentes pannes internet, sanitaires en mauvais état;Moyens;Ce qui me met en difficulté;1
Appartenir à un group de personnes exigeants individuellement et collectivement, soudés, et inspirants;Collectif;Ce que j'apprécie;1
Apprendre;Evolution;Ce que j'apprécie;1
Apprendre (sur me s sujets ou non);Evolution;Ce que j'apprécie;1
Apprendre ce nouveau métier de spécialiste. Etre de plus en plus pointue. Evoluer.;Evolution;Ce que j'apprécie;1
Apprendre de nouvelles compétences;Evolution;Ce que j'apprécie;1
Apprendre des choses tous les jours;Evolution;Ce que j'apprécie;1
Apprendre le jour même le télétravail d'une personne;Communication;Ce qui me met en difficulté;1
apprendre les signes;Evolution;Ce que j'apprécie;1
apprentissage des autres;Evolution;Ce que j'apprécie;1
Arriver à boucler les fin de mois (avec  mon 2 eme taff l'accumulation des 2 est un peu fatiguant parfois du coup je manque de concentration par moment));Rémunération;Ce qui me met en difficulté;1
